Filename,Genotype,Time_to_recovery,Temperature
video_130311.avi,Genotype2,65.25,25
video_130311.avi,Genotype2,63.78,25
video_130311.avi,Genotype2,69.43,25
video_130311.avi,Genotype2,76.92,25
video_130311.avi,Genotype2,91.85,25
video_130311.avi,Genotype2,96.23,25
video_130311.avi,Genotype2,113.68,25
video_130311.avi,Genotype2,145.37,25
video_130311.avi,Genotype2,163.75,25
video_130311.avi,Genotype2,190.74,25
video_130311.avi,Genotype1,76.4,25
video_130311.avi,Genotype1,81.78,25
video_130311.avi,Genotype1,87.49,25
video_130311.avi,Genotype1,85.3,25
video_130311.avi,Genotype1,92.93,25
video_130311.avi,Genotype1,100.38,25
video_130311.avi,Genotype1,102.15,25
video_130311.avi,Genotype1,106.78,25
video_130311.avi,Genotype1,106.36,25
video_130311.avi,Genotype1,106.78,25
video_131804.avi,Genotype1,66.32,25
video_131804.avi,Genotype1,63.03,25
video_131804.avi,Genotype1,68.49,25
video_131804.avi,Genotype1,74.01,25
video_131804.avi,Genotype1,75.55,25
video_131804.avi,Genotype1,95.79,25
video_131804.avi,Genotype1,97.58,25
video_131804.avi,Genotype1,95.16,25
video_131804.avi,Genotype1,98.58,25
video_131804.avi,Genotype1,121.96,25
video_131804.avi,Genotype2,70.73,25
video_131804.avi,Genotype2,65.96,25
video_131804.avi,Genotype2,77.45,25
video_131804.avi,Genotype2,88.02,25
video_131804.avi,Genotype2,99.48,25
video_131804.avi,Genotype2,114.18,25
video_131804.avi,Genotype2,114.5,25
video_131804.avi,Genotype2,114.76,25
video_131804.avi,Genotype2,119.46,25
video_131804.avi,Genotype2,126.06,25
video_131804.avi,Genotype2,94.74,25
video_131804.avi,Genotype2,95.34,25
video_131804.avi,Genotype2,105.07,25
video_131804.avi,Genotype3,124.54,25
video_134013.avi,Genotype3,71.41,25
video_134013.avi,Genotype3,76.16,25
video_134013.avi,Genotype3,96.54,25
video_134013.avi,Genotype3,94.91,25
video_134013.avi,Genotype3,105.04,25
video_134013.avi,Genotype3,115.43,25
video_134013.avi,Genotype3,114.65,25
video_134013.avi,Genotype3,168.64,25
video_134013.avi,Genotype3,75.15,25
video_134013.avi,Genotype3,78.7,25
video_134013.avi,Genotype3,79.12,25
video_134013.avi,Genotype3,87.33,25
video_134013.avi,Genotype3,96.11,25
video_134013.avi,Genotype3,96.69,25
video_134013.avi,Genotype3,99.16,25
video_134013.avi,Genotype3,111.74,25
video_134013.avi,Genotype3,131.81,25
video_134013.avi,Genotype3,134.5,25
video_134013.avi,Genotype3,18.35,25
video_134013.avi,Genotype3,33.65,25
video_134013.avi,Genotype3,11.1,25
video_134013.avi,Genotype3,69.81,25
video_134013.avi,Genotype3,73.91,25
video_134013.avi,Genotype3,78.74,25
video_134013.avi,Genotype3,84.63,25
video_134013.avi,Genotype3,84.5,25
video_134013.avi,Genotype3,98.42,25
video_134013.avi,Genotype3,101.86,25
video_134013.avi,Genotype3,102.91,25
video_134013.avi,Genotype3,118.97,25
video_134013.avi,Genotype3,111.23,25
video_134013.avi,Genotype3,78.72,25
video_134013.avi,Genotype3,82.34,25
video_134013.avi,Genotype3,93.12,25
video_134013.avi,Genotype3,97.79,25
video_134013.avi,Genotype1,102.26,25
video_134013.avi,Genotype1,107.12,25
video_134013.avi,Genotype1,131.39,25
video_134013.avi,Genotype1,132.93,25
video_134013.avi,Genotype1,14.68,25
video_134013.avi,Genotype1,23.13,25
