Filename,Genotype,Time_to_recovery,Temperature
video_161623.avi,Genotype2,70.67,25
video_161623.avi,Genotype2,74.97,25
video_161623.avi,Genotype2,70.97,25
video_161623.avi,Genotype2,85.9,25
video_161623.avi,Genotype2,91.9,25
video_161623.avi,Genotype2,93.3,25
video_161623.avi,Genotype2,89.52,25
video_161623.avi,Genotype2,94.95,25
video_161623.avi,Genotype2,117.81,25
video_161623.avi,Genotype2,118.23,25
video_161623.avi,Genotype1,75.16,25
video_161623.avi,Genotype1,80.31,25
video_161623.avi,Genotype1,82.37,25
video_161623.avi,Genotype1,90.05,25
video_161623.avi,Genotype1,92.2,25
video_161623.avi,Genotype1,100.15,25
video_161623.avi,Genotype1,90.45,25
video_161623.avi,Genotype1,109.61,25
video_161623.avi,Genotype1,113.92,25
video_161623.avi,Genotype1,122.44,25
video_161623.avi,Genotype1,138.33,25
video_161623.avi,Genotype2,81.65,25
video_161623.avi,Genotype2,85.21,25
video_161623.avi,Genotype2,90.02,25
video_161623.avi,Genotype2,90.45,25
video_161623.avi,Genotype2,98.26,25
video_161623.avi,Genotype2,102.11,25
video_161623.avi,Genotype2,107.98,25
video_161623.avi,Genotype2,120.25,25
video_161623.avi,Genotype2,129.65,25
video_161623.avi,Genotype2,147.31,25
video_161623.avi,Genotype1,78.54,25
video_161623.avi,Genotype1,79.8,25
video_161623.avi,Genotype1,67.64,25
video_161623.avi,Genotype1,89.51,25
video_161623.avi,Genotype1,108.9,25
video_161623.avi,Genotype1,111.35,25
video_161623.avi,Genotype1,123.62,25
video_161623.avi,Genotype1,123.8,25
video_161623.avi,Genotype1,125.73,25
video_161623.avi,Genotype1,169.46,25
video_161623.avi,Genotype1,29.81,25
video_163229.avi,Genotype2,71.09,25
video_163229.avi,Genotype2,70.88,25
video_163229.avi,Genotype2,76.81,25
video_163229.avi,Genotype2,91.96,25
video_163229.avi,Genotype2,107.57,25
video_163229.avi,Genotype2,104.71,25
video_163229.avi,Genotype2,117.96,25
video_163229.avi,Genotype2,123.57,25
video_163229.avi,Genotype2,151.05,25
video_163229.avi,Genotype2,104.25,25
video_163229.avi,Genotype1,79.22,25
video_163229.avi,Genotype1,80,25
video_163229.avi,Genotype1,95.92,25
video_163229.avi,Genotype1,100.41,25
video_163229.avi,Genotype1,97.71,25
video_163229.avi,Genotype1,109.2,25
video_163229.avi,Genotype1,113.06,25
video_163229.avi,Genotype1,124.21,25
video_163229.avi,Genotype1,124.81,25
video_163229.avi,Genotype1,26.96,25
video_163229.avi,Genotype1,29.37,25
video_163229.avi,Genotype1,34.2,25
video_163229.avi,Genotype1,37.59,25
video_163229.avi,Genotype1,37.89,25
video_163229.avi,Genotype1,44.94,25
video_163229.avi,Genotype1,64.63,25
video_163229.avi,Genotype1,70.71,25
video_163229.avi,Genotype1,82.77,25
video_163229.avi,Genotype1,85.39,25
video_163229.avi,Genotype1,87.35,25
video_163229.avi,Genotype1,84.47,25
video_163229.avi,Genotype1,87.02,25
video_163229.avi,Genotype1,93.79,25
video_163229.avi,Genotype1,108.3,25
video_163229.avi,Genotype1,123.57,25
video_163229.avi,Genotype1,29.39,25
video_163229.avi,Genotype1,32.39,25
video_163229.avi,Genotype1,26.93,25
video_163229.avi,Genotype1,31.42,25
video_163229.avi,Genotype1,46.61,25
video_124825.avi,Genotype1,79.83,25
video_124825.avi,Genotype1,126.49,25
video_124825.avi,Genotype1,161.77,25
video_124825.avi,Genotype2,45,25
video_124825.avi,Genotype2,45.14,25
video_124825.avi,Genotype2,69.49,25
video_124825.avi,Genotype2,77.14,25
video_124825.avi,Genotype2,81.09,25
video_124825.avi,Genotype2,82.94,25
video_124825.avi,Genotype2,91.47,25
video_124825.avi,Genotype2,94.3,25
video_124825.avi,Genotype2,95.82,25
video_124825.avi,Genotype2,108.55,25
video_124825.avi,Genotype1,63.36,25
video_124825.avi,Genotype1,66.62,25
video_124825.avi,Genotype1,74.39,25
video_124825.avi,Genotype1,77.56,25
video_124825.avi,Genotype1,82.45,25
video_124825.avi,Genotype1,85.61,25
video_124825.avi,Genotype1,86.03,25
video_124825.avi,Genotype1,94.72,25
video_124825.avi,Genotype1,123.03,25
video_124825.avi,Genotype1,86.03,25
video_130311.avi,Genotype2,78.01,25
video_130311.avi,Genotype2,79.02,25
video_130311.avi,Genotype2,80.59,25
video_130311.avi,Genotype2,82.23,25
video_130311.avi,Genotype2,82.19,25
video_130311.avi,Genotype2,88.78,25
video_130311.avi,Genotype2,99.18,25
video_130311.avi,Genotype2,126.84,25
video_130311.avi,Genotype2,134.08,25
video_130311.avi,Genotype2,138.51,25
video_130311.avi,Genotype1,88.76,25
video_130311.avi,Genotype1,95.02,25
video_130311.avi,Genotype1,99.7,25
video_130311.avi,Genotype1,101.1,25
video_130311.avi,Genotype1,99.55,25
video_130311.avi,Genotype1,105.92,25
video_130311.avi,Genotype1,115.48,25
video_130311.avi,Genotype1,118.84,25
video_130311.avi,Genotype1,127.93,25
video_130311.avi,Genotype1,134.25,25
video_130311.avi,Genotype1,33,25
video_130311.avi,Genotype1,37.09,25
video_130311.avi,Genotype1,42.49,25
